DATE,ACMY01,ACMY02,ACMY03,ACMY05,ACMY10
1971-05-06,484.73905650000006,551.0920894,584.4360493,614.3330462,638.3590909
1971-05-07,479.02503210000003,546.3034728,580.2618804,610.8292014,635.3959102
1971-05-10,475.40722420000003,543.0791304,576.0375448,604.8222855,627.9564545000001
1971-05-11,476.1835253,545.6112716,579.3154002,608.6866352000001,632.2840351
1971-05-12,485.1381548,554.9926153,587.7044692000001,615.3539025,637.7087213
1971-05-13,498.54326130000004,568.041938,599.0943235999999,624.2939448999999,645.032857
1971-05-14,505.0138012,571.1937607,601.9520583,627.7592635999999,648.692221
1971-05-17,510.17439519999994,579.2387754,612.1206090000001,640.3163486999999,663.0218784
1971-05-18,514.9395519,584.4831444,619.4051828,650.7425711,675.8872243
1971-05-19,504.9165637,566.4395374,602.9100033,640.4851376,672.9399975
1971-05-20,492.82558630000005,548.2864198999999,584.0494609,623.696636,660.8402434000001
1971-05-21,500.6699868,560.5514949999999,595.9665166999999,632.3612595,663.7534741
1971-05-24,504.9151707,561.0730302000001,594.7640476,629.7831785999999,660.3674619999999
1971-05-25,499.69446350000004,553.0552174000001,586.6342493000001,623.0161238,656.2467322
1971-05-26,490.8744105,539.4446315,572.6923977,611.647997,650.9860382
1971-05-27,490.663686,541.0608978,573.7187083,610.0273116000001,644.2767127
1971-05-28,496.1247079,548.7025275999999,581.5781169,616.9804036,649.1167396
1971-06-01,497.1817163,549.9916206,583.0533549,618.6996745,651.0953063
1971-06-02,488.4101344,537.0491445,569.436191,606.361398,642.3450758
1971-06-03,487.7667142,537.5963482000001,570.3277168,607.1772361,642.4903611000001
1971-06-04,493.9074591,546.0674776000001,579.1819301,615.3314539,648.6625293000001
1971-06-07,509.15746229999996,562.2611957,594.6271518,628.7074798,658.9057388
1971-06-08,515.3331517,568.3944219,599.5094424,631.1866202,658.3907787
1971-06-09,521.7303625,573.5181784,605.09059,638.3356075,667.8135247
1971-06-10,525.5992401000001,577.2539251000001,608.2831186,640.5335725,668.7696222
1971-06-11,535.0582174,587.1263149,615.7731304,643.3860772,666.2200874
1971-06-14,549.3590528000001,600.6174435,629.5416602,658.0289398,681.9006154
1971-06-15,564.2527882,618.8923771999999,645.7806238,669.1360983,687.2361531
1971-06-16,562.246091,614.3892092,638.8128065,659.3430424000001,676.0551699
1971-06-17,558.3598214,614.2855602,639.5339501,659.4237452,674.7189783
1971-06-18,553.8914629999999,605.6822879,632.0715608,655.6183373,673.9071182
1971-06-21,550.669433,599.2885865,624.0067962,646.2560215999999,664.2779851
1971-06-22,559.1760033,609.8846924,633.7712082,653.9324805,670.3373167
1971-06-23,562.9485402,612.5725278,633.6513446,649.8656184,663.7822224
1971-06-24,562.0680139,611.0660555,634.1354389,653.5808314999999,669.4228481
1971-06-25,571.8706361,620.8162004,641.6648085,657.7392987999999,671.5106697
1971-06-28,587.2029861,634.946134,652.4247915,664.0657987,675.8352355000001
1971-06-29,596.5070232,642.7906445,661.2347947,674.5765185,686.7351768
1971-06-30,599.9809834,647.3671666,664.8631966,676.6179001,688.3597533999999
1971-07-01,595.5664748,643.1115248,661.2822129,673.9159935,685.9789783
1971-07-02,594.7912513,642.5685618,660.9886478,673.9085917,686.1108358
1971-07-06,596.0737544,642.2283658,660.1003736,672.6720437,684.5063808
1971-07-07,589.8129348,636.3488386,655.6294419000001,670.0998797,682.7996036
1971-07-08,589.9928530000001,636.8355005999999,656.3806101,671.1500505,684.0293136
1971-07-09,589.1936531,636.6126859999999,657.5557476,674.2325782,688.1928449
1971-07-12,575.725196,625.1543254000001,646.7026807,663.678168,677.9826257
1971-07-13,572.1935485,625.1009262,648.2348867,666.5461466,681.9071157
1971-07-14,571.6579814,624.7653884,648.7255053,668.0985949,683.7856634999999
1971-07-15,568.2229713,623.4739441,647.8806336,667.3996651,683.6514366
1971-07-16,579.4281496,634.0623071,656.9798106000001,674.4681807000001,689.5538506
1971-07-19,590.7272846,644.1282100999999,665.0340012,679.977536,693.7643652
1971-07-20,588.0161103,640.9875512,661.7678495,676.6457064,690.3475623
1971-07-21,583.5870012,638.1312967,660.3960564,676.9632656,691.5954903
1971-07-22,589.9204765000001,645.0252304,667.2036424,683.4974059,698.0747537
1971-07-23,598.325935,649.6020327,671.5598918000001,688.6098453,703.1161798
1971-07-26,603.385275,652.9702074,674.4189735,691.2111603999999,705.41626
1971-07-27,605.4016153,654.5570699,675.933681,692.7465535,706.9236795
1971-07-28,609.5728765,656.6633053,677.212488,693.4041833,707.0500834
1971-07-29,608.4528973,653.8823523,674.3193767,690.8490268,704.5665543
1971-07-30,605.0045486,648.5262347,668.820647,685.7400339,699.6057883
1971-08-02,602.1869132,646.290973,666.400046,682.8412064,696.4217858
1971-08-03,609.3053629,654.0579733999999,674.0572538,690.1294878,703.5200063999999
1971-08-04,609.3188844,654.1454739,673.547441,688.696441,701.5598972
1971-08-05,607.9771294999999,652.6785596,671.952204,686.9462841,699.7139982
1971-08-06,611.760792,656.122649,673.4516872,685.7320913,697.1908825
1971-08-09,615.5150811999999,659.6402064,676.7802616,688.8591435000001,700.2048921
1971-08-10,617.0494901,661.5570705,678.7746952,690.8645236,702.2692144
1971-08-11,616.3724564,660.2161161,676.4220230000001,687.2902935,698.1729935999999
1971-08-12,612.7059803,653.3838134,667.5952085,676.5563850999999,686.3721086
1971-08-13,603.2101617000001,640.5831335,653.5910415,661.7182539,670.7439376
1971-08-16,569.7980248,603.7381382000001,615.5329969000001,622.8327423,631.0568173
1971-08-17,539.1468694,576.2924005,591.792815,603.3742785000001,613.6316936000001
1971-08-18,531.8348213,564.6533347,587.2576256,613.7269333,640.8763813
1971-08-19,521.3810174,554.7890232,578.4268355,606.9065709,637.2315236999999
1971-08-20,528.4148974999999,565.3947899,588.1861127,612.2419106,633.928723
1971-08-23,544.9149174,584.3727407,606.2273766,627.2718421000001,644.8504934
1971-08-24,533.8112199,569.0882174000001,590.9176722,614.0171857,634.9433396000001
1971-08-25,532.6406637,571.7437243,594.1533922,616.3665115,635.2765689
1971-08-26,529.5802625,568.1824938,590.4891741,612.7507348,631.8089373
1971-08-27,526.7555534999999,561.9552768,584.1428397999999,608.0161781,630.0339385
1971-08-30,522.5676538,556.9610166,579.9338472,606.0366097,631.7368005
1971-08-31,513.1868645,552.4776476999999,575.6919633,599.3160365,619.8491691
1971-09-01,520.0365673,556.8647076999999,579.0625881999999,602.0195585,622.3200232
1971-09-02,521.5085516,558.6058934,578.4339593000001,596.9021842,612.1526395
1971-09-03,517.7743569,554.4013362000001,574.6812016,594.1453464,610.4437995
1971-09-07,515.4193621000001,550.0235718,570.5876164,591.5477791,609.9057250999999
1971-09-08,521.5264022,558.3120709,578.0808672000001,596.5755171,611.8783761000001
1971-09-09,528.9307271,568.3992952,588.2139535,605.7377538,620.0287633
1971-09-10,531.6305912,571.3805214,590.4211533,606.5907929,619.8310835
1971-09-13,540.5277022,579.7069406,598.4622623,614.3765046000001,627.4136785
1971-09-14,537.7388357,575.5265531,593.4498615,608.5134882,620.90186
1971-09-15,527.5841488,563.0489647,584.2177403,605.9025973,624.9468152999999
1971-09-16,525.0110955,560.5098064,581.7065688,603.4261554999999,622.5059602
1971-09-17,527.1047296,562.34435,581.1466062,598.6054455999999,613.0396738
1971-09-20,527.3298762,564.3591488000001,584.9355471,604.757993,621.3766955
1971-09-21,530.9517356,567.0827790999999,587.5029115,607.4531561,624.3373535
1971-09-22,533.2015973,568.909871,589.4354331,609.7810642,627.1776242999999
1971-09-23,531.7491628,566.4075161000001,587.3371889,608.9895815,628.1961718
1971-09-24,528.9345563,563.2874622,584.0507143,605.5403637999999,624.6207479999999
1971-09-27,526.4274007,560.3439304,581.2555632,603.2818648,623.1878524
1971-09-28,528.8847149999999,561.4190851,581.9942858000001,604.0619763999999,624.2636637
1971-09-29,523.2308171,557.3351832000001,578.254997,600.1580848,619.7717223999999
1971-09-30,514.2987113,550.503174,571.5666712,592.665049,610.8422896999999
1971-10-01,510.41240769999996,546.9270846,568.7327625,591.0870679000001,610.7119797
1971-10-04,498.44645420000006,539.9716931,569.003997,594.8206867,597.4103032
1971-10-05,497.02682429999993,542.4231655,573.2792293,599.5471052,599.1291085
1971-10-06,495.88121579999995,539.5597408000001,569.505405,595.6734878,597.4763219
1971-10-07,493.27155859999993,539.4672571,570.6581664,597.1878695,597.0018406
1971-10-08,489.5565037,535.4556296000001,566.5140339999999,593.5604143,595.6658288
1971-10-12,480.20557180000003,527.30778,558.4938545,586.3501928,592.2543615999999
1971-10-13,473.56277679999994,521.8485862,551.4425061,579.0707151,593.3208094
1971-10-14,473.3380178,522.2647936000001,549.5983972,576.2196819,598.4427759
1971-10-15,472.82078170000005,529.6712726,555.300224,575.2045393999999,590.443076
1971-10-18,481.4520079,527.7314762999999,554.4283657,581.1254974999999,603.8607953999999
1971-10-19,478.8564714,532.5268646999999,558.1146861,578.8808025,593.9905159
1971-10-20,468.35446779999995,523.0610442,550.0605566,572.4235441000001,588.122284
1971-10-21,463.67339039999996,518.8205627,547.5868348,572.4473726,589.3032315
1971-10-22,460.4198917,517.2631245,546.6267832,571.7450057,588.7451669
1971-10-26,454.88142519999997,511.7575184,543.6320584,572.5737656,591.5438489999999
1971-10-27,453.2421801,509.79055659999995,542.969854,574.2740328,595.0672332
1971-10-28,461.30164349999995,506.03968430000003,537.6392379,572.491484,600.6002086999999
1971-10-29,451.82845470000007,497.36854719999997,530.4935855,566.876435,594.4049021999999
1971-11-01,437.99381759999994,497.49208969999995,531.1995171000001,561.8580917,581.568705
1971-11-03,447.74154050000004,490.6085678,522.8993664,559.3508772,588.2025938
1971-11-04,447.48208610000006,494.6426861,527.0480402999999,561.3846257,586.5512997999999
1971-11-05,447.25621259999997,495.27568610000003,527.1381610999999,560.0885639,583.6858241
1971-11-08,451.9981436,500.589785,532.3026827,565.0056551,588.9107190999999
1971-11-09,451.21023879999996,501.0190399,533.2414230999999,566.2619953,590.2275516999999
1971-11-10,454.98530840000006,507.31602889999994,539.4692729,571.1700815,593.3876249
1971-11-11,456.04288080000003,503.1108434,534.3104900000001,567.1025519,592.0499228
1971-11-12,452.6502485,498.5392709,529.2467445,562.048728,588.0524227999999
1971-11-15,452.6481423,498.2725895,528.7646235999999,562.9016172,594.4627372
1971-11-16,446.88448689999996,494.8863794,527.2473159,562.9847833,594.1019934999999
1971-11-17,446.77980140000005,495.188484,527.3856834000001,562.7482534000001,593.6801856
1971-11-18,446.857375,495.00198720000003,527.4175596,563.1083304,593.9479402
1971-11-19,450.5439108,498.930155,531.5702630999999,567.1280284,596.6929622
1971-11-22,453.7205516,503.68833850000004,535.9823957,570.7892713,600.8332561999999
1971-11-23,461.19177479999996,512.868873,545.8260855999999,580.1502571000001,607.1529874
1971-11-24,467.2743713,517.6835124,549.3889163,583.1466361,612.5405735
1971-11-26,467.43246320000003,512.5745469,543.6644882999999,577.8282455,606.1779615
1971-11-29,464.6193725,510.11286599999994,542.4904757,578.4899455999999,607.9118553
1971-11-30,463.47680770000005,505.34865560000003,536.4573688,573.471248,608.7746018
1971-12-01,461.42924650000003,501.6325037,533.0170008,571.0900572,607.2505103
1971-12-02,461.0359914,500.3798378,530.2705119,567.4753912,606.6545898
1971-12-03,456.68937200000005,495.7787269,525.8046051,563.5612974,603.8853839
1971-12-06,457.43482,496.5795208,527.4244908000001,565.2286873,601.8539480000001
1971-12-07,460.23682800000006,500.4174401,530.7758886,567.9262434,605.5411300000001
1971-12-08,458.3390251,498.5719261,528.7415968,565.9419287999999,604.7134638
1971-12-09,460.5896586,503.0764958,533.4255625,569.7511042,606.7982503
1971-12-10,459.5671115,501.2616039,531.3462407000001,567.972069,606.5768824
1971-12-13,454.84207039999995,495.9459378,526.1184592000001,563.4929574,603.8508079
1971-12-14,456.0003004,498.3711002,529.067008,566.7239227,606.9633603
1971-12-15,460.81523109999995,501.4681659,531.606249,569.1728847,609.9204089
1971-12-16,458.837889,498.8801381,528.5096782,566.0129766,608.3490471
1971-12-17,454.9942264,493.9215768,523.7526435000001,562.3770286,606.7384213
1971-12-20,456.99316120000003,497.3610054,527.5428776,565.6395193,607.8639243
1971-12-21,457.24305369999996,497.9783042,528.0917925,566.2894342999999,609.6318719
1971-12-22,454.4409978,495.43083110000003,525.9481454,564.9870012,609.8047735
1971-12-23,442.33469239999994,485.88643390000004,518.1666167000001,559.2717285,606.0595126
1971-12-27,434.9525423,478.244651,510.747495,552.7686477,601.6488175000001
1971-12-28,432.4620006,475.04498279999996,507.07410289999996,548.5613866,596.9808821
1971-12-29,435.74366810000004,480.7626802,513.4216546,554.0099436,598.6081409999999
1971-12-30,436.19556250000005,480.49830370000006,512.9362522,553.6640774,599.0880981
1971-12-31,433.42301580000003,478.2394348,510.9709824,551.9547062,597.4707215
1972-01-03,435.2113725,482.6463294,516.4780145,557.7814325,601.9686658
1972-01-04,432.5512088,480.2400706,514.6055501000001,557.0377621,603.1458387
1972-01-05,429.0750683,477.6835302,512.9774229999999,556.9349588,605.2535114
1972-01-06,422.3952023,473.79246989999996,510.5289173,555.5312379,603.7776541000001
1972-01-07,416.1588718,469.60157130000005,507.4672082,553.4421739,602.0673556
1972-01-10,404.59941190000006,461.3742886,501.1332633,548.852272,598.4348012
1972-01-11,402.38212969999995,463.39423159999996,504.1596556,550.8931114000001,596.46393
1972-01-12,401.4928118,460.60903140000005,501.2996354,549.3098225,597.9887695
1972-01-13,396.9543921,455.4784164,496.5692904,546.0370289,597.6087054
1972-01-14,393.27510060000003,454.2325269,496.4803171,546.6930168,598.0689017999999
1972-01-17,400.08566849999994,458.891453,500.34977019999997,550.4811675,603.0554499
1972-01-18,403.03010539999997,463.55530209999995,505.292276,554.6476015,604.8051581
1972-01-19,414.0054744,475.847423,516.8088549,563.3953114,608.3367825
1972-01-20,414.7196887,474.3406163,515.7569718000001,563.9769661,610.4441173
1972-01-21,419.64651899999996,479.2215217,519.3729592999999,565.7389662,611.3319292
1972-01-24,426.35607259999995,486.94959009999997,526.1564568,569.7719687,610.7268725
1972-01-25,424.4578209,485.2197371,524.2022571,567.2288963999999,607.2508356000001
1972-01-26,421.2875625,482.11554,521.7006583,565.9714213,607.8081008
1972-01-27,417.37022890000003,481.437911,524.2538564,572.0159749999999,614.7162804
1972-01-28,419.7726986,487.61113570000003,529.9946993,575.739574,617.0774513
1972-01-31,421.98944760000006,491.15172759999996,533.0702130999999,577.1283804000001,615.8245197
1972-02-01,426.3865922,496.96884,537.9819517999999,579.5615938,614.8815325
1972-02-02,422.0896603,490.92357419999996,532.4869117999999,576.0256162000001,614.1444230000001
1972-02-03,424.9761209,496.6312243,537.7454159,578.9903307000001,613.7217368
1972-02-04,419.3451553,491.3838757,533.0324818,575.0844218,610.6717323
